customer_id,first_name,last_name,address,city,country,total_spent,favorite_category,rental_count
526,KARL,SEAL,"1427 Tabuk Place","Cape Coral","United States",221.55,Animation,8
148,ELEANOR,HUNT,"1952 Pune Lane",Saint-Denis,Runion,216.54,Sci-Fi,7
144,CLARA,SHAW,"1027 Songkhla Manor",Molodetno,Belarus,195.58,Drama,5
137,RHONDA,KENNEDY,"1749 Daxian Place",Apeldoorn,Netherlands,194.61,Games,6
178,MARION,SNYDER,"1891 Rizhao Boulevard","Santa Brbara dOeste",Brazil,194.61,Travel,4
459,TOMMY,COLLAZO,"76 Kermanshah Manor",Qomsheh,Iran,186.62,Comedy,5
469,WESLEY,BULL,"1469 Plock Lane","Ourense (Orense)",Spain,177.60,Games,9
468,TIM,CARY,"1257 Guadalajara Street",Bijapur,India,175.61,Animation,7
236,MARCIA,DEAN,"1479 Rustenburg Boulevard",Tanza,Philippines,175.58,Foreign,5
181,ANA,BRADLEY,"682 Garden Grove Place",Memphis,"United States",174.66,Family,7
